pau_gasol   Jul 6 1980
rudy_gay   Aug 17 1986
alonzo_gee   May 29 1987
mickael_gelabale   May 22 1983
paul_george   May 2 1990
daniel_gibson   Feb 27 1986
taj_gibson   Jun 24 1985
emanuel_ginobili   Jul 28 1977
drew_gooden   Sep 24 1981
ben_gordon   Apr 4 1983
eric_gordon   Dec 25 1988
marcin_gortat   Feb 17 1984
andrew_goudelock   Dec 7 1988
danny_granger   Apr 20 1983
aaron_gray   Dec 7 1984
daniel_green   Jun 22 1987
draymond_green   Mar 4 1990
gerald_green   Jan 26 1986
jeff_green   Aug 28 1986
willie_green   Jul 28 1981
donte_greene   Feb 21 1988
blake_griffin   Mar 16 1989
hamed_haddadi   May 19 1985
jordan_hamilton   Oct 6 1990
richard_hamilton   Feb 14 1978
ben_hansbrough   Dec 23 1987
tyler_hansbrough   Nov 3 1985
james_harden   Aug 26 1989
maurice_harkless   May 11 1993
al_harrington   Feb 17 1980
devin_harris   Feb 27 1983
terrel_harris   Aug 10 1987
tobias_harris   Jul 15 1992
udonis_haslem   Jun 9 1980
spencer_hawes   Apr 28 1988
chuck_hayes   Jun 11 1983
gordon_hayward   Mar 23 1990
brendan_haywood   Nov 27 1979
gerald_henderson   Dec 9 1987
xavier_henry   Mar 15 1991
john_henson   Dec 28 1990
roy_hibbert   Dec 11 1986
jj_hickson   Sep 4 1988
george_hill   May 4 1986
grant_hill   Oct 5 1972
jordan_hill   Jul 27 1987
kirk_hinrich   Jan 2 1981
jrue_holiday   Jun 12 1990
justin_holiday   Apr 5 1989
ryan_hollins   Oct 10 1984
al_horford   Jun 3 1986
dwight_howard   Dec 8 1985
juwan_howard   Feb 7 1973
kris_humphries   Feb 6 1985
serge_ibaka   Sep 18 1989
andre_iguodala   Jan 28 1984
ersan_ilyasova   May 15 1987
kyrie_irving   Mar 23 1992
royal_ivey   Dec 20 1981
jarrett_jack   Oct 28 1983
reggie_jackson   Apr 16 1990
bernard_james   Feb 7 1985
lebron_james   Dec 30 1984
mike_james   Jun 23 1975
antawn_jamison   Jun 12 1976
al_jefferson   Jan 4 1985
richard_jefferson   Jun 21 1980
jared_jeffries   Nov 25 1981
charles_jenkins   Feb 28 1989
john_jenkins   Mar 6 1991
brandon_jennings   Sep 23 1989
jonas_jerebko   Mar 2 1987
amir_johnson   May 1 1987
chris_johnson   Jul 15 1985
ivan_johnson   Apr 10 1984
james_johnson   Feb 20 1987
joe_johnson   Jun 29 1981
orlando_johnson   Mar 11 1989
wesley_johnson   Jul 11 1987
dahntay_jones   Dec 27 1980
dequan_jones   Jun 20 1990
dwayne_jones   Jun 9 1983
james_jones   Oct 4 1980
kevin_jones   Aug 25 1989
perry_jones   Sep 24 1991
terrence_jones   Jan 9 1992
deandre_jordan   Jul 21 1988
cory_joseph   Aug 20 1991
kris_joseph   Dec 17 1988
chris_kaman   Apr 28 1982
enes_kanter   May 20 1992
jason_kidd   Mar 23 1973
michael_kidd-gilchrist   Sep 26 1993
andrei_kirilenko   Feb 18 1981
linas_kleiza   Jan 3 1985
brandon_knight   Dec 2 1991
kyle_korver   Mar 17 1981
kosta_koufos   Feb 24 1989
viacheslav_kravtsov   Aug 25 1987
doron_lamb   Nov 6 1991
jeremy_lamb   May 30 1992
carl_landry   Sep 19 1983
ty_lawson   Nov 3 1987
courtney_lee   Oct 3 1985
david_lee   Apr 29 1983
malcolm_lee   May 22 1990
kawhi_leonard   Jun 29 1991
meyers_leonard   Feb 27 1992
jon_leuer   May 14 1989
rashard_lewis   Aug 8 1979
deandre_liggins   Mar 31 1988
damian_lillard   Jul 15 1990
jeremy_lin   Aug 23 1988
shaun_livingston   Sep 11 1985
brook_lopez   Apr 1 1988
robin_lopez   Apr 1 1988
kevin_love   Sep 7 1988
kyle_lowry   Mar 25 1986
john_iii_lucas   Nov 21 1982
