season,, Guest_star,,  bday,, dday,, url
6,,Patrick Stewart,,1940,,-1,, http://en.wikipedia.org/wiki/Patrick_Stewart
6,,Rhea Perlman,,1948,,-1,, http://en.wikipedia.org/wiki/Rhea_Perlman
6,,Susan Sarandon,,1946,,-1,, http://en.wikipedia.org/wiki/Susan_Sarandon
6,,Ted Danson,,1947,,-1,, http://en.wikipedia.org/wiki/Ted_Danson
6,,Tito Puente,,1923,,2000,, http://en.wikipedia.org/wiki/Tito_Puente
6,,Winona Ryder,,1971,,-1,, http://en.wikipedia.org/wiki/Winona_Ryder
6,,Woody Harrelson,,1961,,-1,, http://en.wikipedia.org/wiki/Woody_Harrelson
7,,Alex Rocco,,1936,,-1,, http://en.wikipedia.org/wiki/Alex_Rocco
7,,Bob Newhart,,1929,,-1,, http://en.wikipedia.org/wiki/Bob_Newhart
7,,Christina Ricci,,1980,,-1,, http://en.wikipedia.org/wiki/Christina_Ricci
7,,Cypress Hill[I],,-1,,-1,, http://en.wikipedia.org/wiki/Cypress_Hill
7,,Donald Sutherland,,1935,,-1,, http://en.wikipedia.org/wiki/Donald_Sutherland
7,,Harry Morgan,,1915,,2011,, http://en.wikipedia.org/wiki/Harry_Morgan
7,,Jack Sheldon,,1931,,-1,, http://en.wikipedia.org/wiki/Jack_Sheldon
7,,Jeff Goldblum,,1952,,-1,, http://en.wikipedia.org/wiki/Jeff_Goldblum
7,,Joan Kenley,,-1,,-1,, http://en.wikipedia.org/wiki/Joan_Kenley
7,,Kirk Douglas,,1916,,-1,, http://en.wikipedia.org/wiki/Kirk_Douglas
7,,Lawrence Tierney,,1919,,2002,, http://en.wikipedia.org/wiki/Lawrence_Tierney
7,,Linda McCartney,,1941,,1998,, http://en.wikipedia.org/wiki/Linda_McCartney
7,,Mickey Rooney,,1920,,-1,, http://en.wikipedia.org/wiki/Mickey_Rooney
7,,Paul Anka,,1941,,-1,, http://en.wikipedia.org/wiki/Paul_Anka
